1,а,а,а,а,1
2,б,б,б,б,2
3,в,в,в,в,3
4,г,г,г,г,4
5,д,д,д,д,5
6,е,-,-,-,321
7,з,-,-,-,+7 (903) 123-4567
8,Валерий,Петров,12.11.2010,Школа №123,+7 (916) 112-1236;+7 (495) 123-4567
9,а,б,а,а,1
10,б,а,а,а,1
11,Рома,Петров,13.01.1999,универмаг,1234567
12,Петр,Романов,12.08.2001,завод,7654321
13,Рома,Петров,13.01.1999,универмаг,1234567
14,Петр,Романов,12.08.2001,завод,7654321
15,йй,й,й,йй,1
16,Петр,Романов,12.08.2001,завод,7654321
17,q,q,q,q,1
18,Рома,Петров,13.01.1999,универмаг,1234567
19,Петр,Романов,12.08.2001,завод,7654321
